id,y_2011,y_2012,y_2013,y_2014
0,2,2,1,
1,,4,4,5
2,7,6,2,5
3,10,10,10,4
4,8,1,2,4
5,8,18,12,5
6,6,9,3,2
7,7,5,19,6
8,5,5,31,11
9,8,8,9,1
10,4,3,15,11
11,10,8,6,7
12,3,9,7,1
13,2,1,1,
14,2,,,
15,3,3,1,1
16,4,4,1,1
17,4,5,5,
18,,1,4,2
19,,3,,2
20,6,5,8,5
21,2,9,4,3
22,4,8,6,4
23,,4,1,
24,3,2,6,4
25,2,,2,
26,,,1,1
27,,3,,1
28,10,8,5,7
29,3,9,12,3
30,4,10,9,7
31,3,19,8,4
32,3,6,5,1
33,13,7,13,5
34,2,5,5,7
35,6,3,1,1
36,6,6,9,6
37,1,1,,2
38,7,7,11,5
39,7,1,11,9
40,9,9,7,4
41,2,1,1,2
42,8,,1,
43,2,11,10,5
44,4,8,8,7
45,,1,3,5
46,4,2,3,
47,16,8,13,9
48,2,5,2,3
49,1,6,4,2
50,2,1,8,2
51,4,,1,3
52,,7,2,1
53,1,1,4,6
54,2,3,7,6
55,2,,2,1
56,5,12,,4
57,5,8,1,3
58,2,,,4
59,1,5,8,1
60,,2,,
61,3,2,,1
62,,5,1,1
63,2,,,
64,,,,
65,,,,
66,7,7,13,8
67,4,5,1,
68,11,11,9,3
69,10,14,13,7
70,6,7,10,2
71,15,8,16,11
72,4,9,8,1
73,6,6,8,1
74,4,4,1,3
75,5,10,,4
76,2,1,5,1
77,2,3,4,1
78,,2,,
79,2,,,1
80,,3,3,2
81,2,,4,4
82,1,1,1,1
83,3,9,6,1
84,,2,2,2
85,1,4,7,4
86,5,9,7,1
87,,2,2,1
88,2,1,3,2
89,,,2,3
90,4,4,5,5
91,,2,1,3
92,7,1,1,
93,9,4,2,2
94,4,2,2,
95,3,1,1,1
96,,2,2,2
97,2,5,10,8
98,13,31,27,6
99,1,3,1,
100,7,13,10,3
101,,7,3,3
102,3,4,3,8
103,1,2,5,1
104,4,4,5,3
105,4,6,2,
106,5,,,
107,,,,2
108,3,4,10,2
109,,3,3,7
110,1,2,2,1
111,6,5,5,2
112,2,5,5,2
113,5,4,2,
114,1,6,4,4
115,1,4,5,1
116,1,6,5,4
117,,3,1,
118,4,9,13,3
119,10,7,7,2
120,11,9,1,4
121,4,13,6,3
122,5,4,3,1
123,,1,1,1
124,1,4,9,5
125,3,3,2,
126,2,2,5,4
127,1,9,11,2
128,4,7,7,3
129,7,1,6,1
130,1,5,2,1
131,,,2,
132,2,9,6,4
133,10,4,7,2
134,10,5,,5
135,3,,,
136,8,8,6,6
137,2,7,15,6
138,2,3,8,5
139,2,9,8,6
140,3,1,3,1
141,3,3,5,
142,7,6,18,4
143,5,9,6,4
144,2,4,,1
145,1,,,
146,2,1,1,2
147,,,,
148,7,5,21,1
149,1,1,,
150,1,,2,7
151,3,1,3,1
152,2,1,1,1
153,,,,
154,3,,1,
155,4,1,,
156,1,,2,1
157,4,,,
158,3,4,5,1
159,,3,,
160,1,7,12,5
161,2,6,2,1
162,,3,4,2
163,,4,1,
164,6,2,2,1
165,2,,,
166,,,1,4
167,5,,,
168,1,3,1,
169,2,5,2,1
170,4,7,2,
171,6,2,11,4
172,7,4,7,5
173,,,1,1
174,5,7,9,5
174,,,,
176,1,1,,3
177,4,,4,1
178,,1,,
179,1,,,
180,2,,2,2
181,2,,2,
182,1,3,,2
183,3,2,,2
184,10,8,4,2
185,,3,1,2
186,3,6,8,4
187,,4,6,4
188,1,7,9,1
189,2,2,4,4
190,1,,1,1
191,3,3,4,1
192,3,9,4,3
193,,1,1,1
194,1,14,,2
195,,1,1,
196,2,,,
197,,2,4,1
198,12,18,11,8
199,5,3,6,1
200,1,,,
201,,3,4,1
202,,1,1,
203,,,,
204,,3,1,1
205,1,1,,
206,1,2,,
207,7,4,3,3
208,3,6,4,2
209,6,17,15,8
210,7,3,2,1
211,2,,1,1
212,5,,1,1
213,6,2,3,
214,4,2,3,
215,,1,2,1
216,13,10,9,2
217,5,8,3,4
218,4,18,9,4
219,3,9,5,6
220,3,3,14,6
221,12,20,24,10
222,10,21,16,5
223,5,8,11,8
224,7,15,18,9
225,14,24,16,9
226,6,10,8,11
227,12,13,9,4
228,2,,1,1
229,,,,
230,1,1,3,
231,3,2,1,1
232,1,,4,2
233,1,,1,1
234,4,3,24,3
235,,,2,1
236,3,2,4,2
237,2,5,2,1
238,4,6,1,
239,,,4,2
240,,,,
241,4,1,1,1
242,3,5,5,2
243,6,8,5,
244,3,4,4,9
245,1,4,,
246,1,4,4,3
247,2,3,2,20
248,,1,1,
249,3,2,,
250,1,9,5,5
251,1,2,6,7
252,3,5,4,2
253,3,3,8,9
254,11,5,6,3
255,5,9,10,4
256,3,5,1,
257,6,17,9,6
258,13,12,10,4
259,4,10,8,2
260,7,6,5,2
261,13,12,14,13
262,1,,5,6
263,8,14,6,8
264,8,8,18,17
265,2,7,10,4
266,7,13,13,8
267,13,10,11,3
268,12,16,8,6
269,11,4,4,5
270,21,13,15,12
271,2,2,9,3
272,,7,8,1
273,1,3,,
274,3,3,10,
275,7,15,16,21
276,2,4,3,10
277,4,1,5,3
278,7,12,19,14
279,5,13,7,1
280,1,,,
281,8,4,6,1
282,2,4,9,4
283,3,1,8,4
284,1,3,3,
285,2,6,,2
286,3,4,3,5
287,,1,1,1
288,3,3,3,
289,1,5,1,
290,8,3,4,1
